periodo,sector,concursos
2022Q2,Inmobiliarias financieras y seguros,48
2022Q3,Inmobiliarias financieras y seguros,59
2022Q4,Inmobiliarias financieras y seguros,64
2023Q1,Inmobiliarias financieras y seguros,53
2023Q2,Inmobiliarias financieras y seguros,59
2023Q3,Inmobiliarias financieras y seguros,37
2023Q4,Inmobiliarias financieras y seguros,43
2024Q1,Inmobiliarias financieras y seguros,77
2024Q2,Inmobiliarias financieras y seguros,66
2024Q3,Inmobiliarias financieras y seguros,44
2024Q4,Inmobiliarias financieras y seguros,69
2025Q1,Inmobiliarias financieras y seguros,71
2025Q2,Inmobiliarias financieras y seguros,66
2025Q3,Inmobiliarias financieras y seguros,49
2025Q4,Inmobiliarias financieras y seguros,67
2011Q1,J Información y comunicaciones,26
2011Q2,J Información y comunicaciones,26
2011Q3,J Información y comunicaciones,21
2011Q4,J Información y comunicaciones,27
2012Q1,J Información y comunicaciones,31
2012Q2,J Información y comunicaciones,42
2012Q3,J Información y comunicaciones,27
2012Q4,J Información y comunicaciones,52
2013Q1,J Información y comunicaciones,41
2013Q2,J Información y comunicaciones,54
2013Q3,J Información y comunicaciones,48
2013Q4,J Información y comunicaciones,74
2014Q1,J Información y comunicaciones,44
2014Q2,J Información y comunicaciones,56
2014Q3,J Información y comunicaciones,41
2014Q4,J Información y comunicaciones,69
2015Q1,J Información y comunicaciones,46
2015Q2,J Información y comunicaciones,49
2015Q3,J Información y comunicaciones,41
2015Q4,J Información y comunicaciones,51
2016Q1,J Información y comunicaciones,29
2016Q2,J Información y comunicaciones,36
2016Q3,J Información y comunicaciones,32
2016Q4,J Información y comunicaciones,41
2017Q1,J Información y comunicaciones,38
2017Q2,J Información y comunicaciones,47
2017Q3,J Información y comunicaciones,31
2017Q4,J Información y comunicaciones,54
2018Q1,J Información y comunicaciones,35
2018Q2,J Información y comunicaciones,50
2018Q3,J Información y comunicaciones,36
2018Q4,J Información y comunicaciones,32
2019Q1,J Información y comunicaciones,45
2019Q2,J Información y comunicaciones,48
2019Q3,J Información y comunicaciones,46
2019Q4,J Información y comunicaciones,45
2020Q1,J Información y comunicaciones,43
2020Q2,J Información y comunicaciones,35
